start_time,end_time
2023-09-11 16:04:00,2023-09-11 16:14:00
2023-09-11 16:14:00,2023-09-11 16:24:00
2023-09-11 16:24:00,2023-09-11 16:34:00
2023-09-12 10:57:00,2023-09-12 11:07:00
2023-09-12 11:07:00,2023-09-12 11:17:00
2023-09-12 11:17:00,2023-09-12 11:27:00
2023-09-12 12:37:00,2023-09-12 12:47:00
2023-09-12 12:47:00,2023-09-12 12:57:00
2023-09-12 12:57:00,2023-09-12 13:07:00
2023-09-12 17:12:00,2023-09-12 17:22:00
2023-09-12 17:22:00,2023-09-12 17:32:00
2023-09-12 17:32:00,2023-09-12 17:42:00
2023-09-13 09:59:00,2023-09-13 10:09:00
2023-09-13 10:09:00,2023-09-13 10:19:00
2023-09-13 10:19:00,2023-09-13 10:29:00
2023-09-13 11:59:00,2023-09-13 12:09:00
2023-09-13 12:09:00,2023-09-13 12:19:00
2023-09-13 12:19:00,2023-09-13 12:29:00
2023-09-13 13:59:00,2023-09-13 14:09:00
2023-09-13 14:09:00,2023-09-13 14:19:00
2023-09-13 14:19:00,2023-09-13 14:29:00
2023-09-13 15:44:00,2023-09-13 15:54:00
2023-09-13 15:54:00,2023-09-13 16:04:00
2023-09-13 16:04:00,2023-09-13 16:14:00
2023-09-14 11:09:00,2023-09-14 11:19:00
2023-09-14 11:19:00,2023-09-14 11:29:00
2023-09-14 11:29:00,2023-09-14 11:39:00
2023-09-14 13:09:00,2023-09-14 13:19:00
2023-09-14 13:19:00,2023-09-14 13:29:00
2023-09-14 13:29:00,2023-09-14 13:39:00
2023-09-14 14:59:00,2023-09-14 15:09:00
2023-09-14 15:09:00,2023-09-14 15:19:00
2023-09-14 15:19:00,2023-09-14 15:29:00
2023-09-14 16:34:00,2023-09-14 16:44:00
2023-09-14 16:44:00,2023-09-14 16:54:00
2023-09-14 16:54:00,2023-09-14 17:04:00
2023-09-15 10:09:00,2023-09-15 10:19:00
2023-09-15 10:19:00,2023-09-15 10:29:00
2023-09-15 10:29:00,2023-09-15 10:39:00
2023-09-15 11:44:00,2023-09-15 11:54:00
2023-09-15 11:54:00,2023-09-15 12:04:00
2023-09-15 12:04:00,2023-09-15 12:14:00
2023-09-15 13:24:00,2023-09-15 13:34:00
2023-09-15 13:34:00,2023-09-15 13:44:00
2023-09-15 13:44:00,2023-09-15 13:54:00
2023-09-11 12:04:00,2023-09-11 12:09:00
2023-09-11 12:09:00,2023-09-11 12:14:00
2023-09-11 12:14:00,2023-09-11 12:19:00
2023-09-11 11:52:00,2023-09-11 11:55:00
2023-09-11 11:55:00,2023-09-11 11:58:00
2023-09-11 11:58:00,2023-09-11 12:01:00
2023-09-11 10:19:00,2023-09-11 10:34:00
2023-09-11 10:34:00,2023-09-11 10:49:00
2023-09-11 10:49:00,2023-09-11 11:09:00
2023-09-11 14:14:00,2023-09-11 14:19:00
2023-09-11 14:19:00,2023-09-11 14:24:00
2023-09-11 14:24:00,2023-09-11 14:29:00
2023-09-11 11:26:00,2023-09-11 11:31:00
2023-09-11 11:31:00,2023-09-11 11:36:00
2023-09-11 11:36:00,2023-09-11 11:41:00
2023-09-11 13:45:00,2023-09-11 13:50:00
2023-09-11 13:50:00,2023-09-11 13:55:00
2023-09-11 13:55:00,2023-09-11 14:00:00
2023-09-11 13:19:00,2023-09-11 13:24:00
2023-09-11 13:24:00,2023-09-11 13:29:00
2023-09-11 13:29:00,2023-09-11 13:34:00
2023-09-11 12:32:00,2023-09-11 12:37:00
2023-09-11 12:37:00,2023-09-11 12:42:00
2023-09-11 12:42:00,2023-09-11 12:47:00
2023-09-11 12:59:00,2023-09-11 13:04:00
2023-09-11 13:04:00,2023-09-11 13:09:00
2023-09-11 13:09:00,2023-09-11 13:14:00
